,smile_ratio,times
0,1.897,2017-11-26 15:24:52.691
1,2.031,2017-11-26 15:24:52.768
2,2.043,2017-11-26 15:24:55.029
3,1.812,2017-11-26 15:24:59.520
4,1.803,2017-11-26 15:25:00.859
5,1.875,2017-11-26 15:25:00.938
6,1.807,2017-11-26 15:25:01.017
7,1.839,2017-11-26 15:25:02.414
8,1.885,2017-11-26 15:25:02.497
9,1.926,2017-11-26 15:25:02.574
10,1.818,2017-11-26 15:25:02.653
11,1.818,2017-11-26 15:25:02.732
12,1.818,2017-11-26 15:25:02.865
13,1.804,2017-11-26 15:25:03.024
14,1.873,2017-11-26 15:25:03.191
15,1.873,2017-11-26 15:25:03.254
16,1.804,2017-11-26 15:25:03.316
17,1.836,2017-11-26 15:25:03.378
18,1.855,2017-11-26 15:25:03.444
19,1.855,2017-11-26 15:25:03.536
20,1.855,2017-11-26 15:25:03.608
21,1.852,2017-11-26 15:25:03.690
22,1.836,2017-11-26 15:25:03.835
23,1.825,2017-11-26 15:25:03.908
24,1.87,2017-11-26 15:25:04.066
25,1.852,2017-11-26 15:25:04.214
26,1.821,2017-11-26 15:25:04.296
27,1.855,2017-11-26 15:25:04.374
28,1.873,2017-11-26 15:25:04.527
29,1.804,2017-11-26 15:25:04.606
30,1.906,2017-11-26 15:25:04.685
31,1.962,2017-11-26 15:25:04.754
32,1.873,2017-11-26 15:25:05.965
33,1.807,2017-11-26 15:25:06.046
34,1.891,2017-11-26 15:25:06.118
35,1.825,2017-11-26 15:25:06.289
36,1.944,2017-11-26 15:25:06.372
37,1.963,2017-11-26 15:25:06.442
38,1.86,2017-11-26 15:25:06.524
39,1.909,2017-11-26 15:25:06.606
40,1.857,2017-11-26 15:25:06.686
41,1.857,2017-11-26 15:25:06.764
42,2.019,2017-11-26 15:25:06.830
43,1.927,2017-11-26 15:25:06.990
44,1.963,2017-11-26 15:25:07.067
45,2.0,2017-11-26 15:25:07.141
46,2.0,2017-11-26 15:25:07.217
47,2.0,2017-11-26 15:25:07.281
48,1.909,2017-11-26 15:25:07.360
49,2.0,2017-11-26 15:25:07.439
50,1.963,2017-11-26 15:25:07.533
51,1.875,2017-11-26 15:25:07.629
52,1.981,2017-11-26 15:25:07.705
53,1.944,2017-11-26 15:25:07.778
54,1.944,2017-11-26 15:25:07.840
55,1.873,2017-11-26 15:25:07.907
56,1.833,2017-11-26 15:25:07.997
57,1.906,2017-11-26 15:25:08.386
58,2.34,2017-11-26 15:25:08.447
59,2.098,2017-11-26 15:25:08.512
60,2.204,2017-11-26 15:25:08.577
61,1.907,2017-11-26 15:25:08.654
62,1.907,2017-11-26 15:25:08.730
63,2.224,2017-11-26 15:25:09.101
64,2.0,2017-11-26 15:25:09.167
